REGIAO:;NE
UF:;PI
ESTACAO:;PARNAIBA
CODIGO (WMO):;A308
LATITUDE:;-3,08666666
LONGITUDE:;-41,78305554
ALTITUDE:;52,11
DATA DE FUNDACAO:;06/02/03
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/03;1300 UTC;0;;;;2812,9;;;;;;;;;;79;8,6;3,9;
2024/01/03;1400 UTC;0;;;;2940,6;;;;;;;;;;77;7,7;3;
2024/01/03;1500 UTC;0;;;;2210,5;;;;;;;;;;54;7,2;3,6;
2024/01/03;1600 UTC;0;;;;2644,2;;;;;;;;;;59;8,4;4,4;
2024/01/03;1700 UTC;0;;;;1808,7;;;;;;;;;;50;8,2;3,8;
2024/01/03;1800 UTC;0;;;;1971,1;;;;;;;;;;36;9,7;5;
2024/01/03;1900 UTC;0;;;;1052,8;;;;;;;;;;49;9,7;4,9;
2024/01/03;2000 UTC;0;;;;993,9;;;;;;;;;;58;9;4,5;
2024/01/03;2100 UTC;0;;;;234,6;;;;;;;;;;58;8,6;3,8;
2024/01/03;2200 UTC;0;;;;,1;;;;;;;;;;59;7,9;2,9;
2024/01/03;2300 UTC;0;;;;0;;;;;;;;;;70;6,4;2,2;
2024/01/04;0000 UTC;0;;;;0;;;;;;;;;;73;4;1,6;
2024/01/04;0100 UTC;0;;;;0;;;;;;;;;;80;3;1,4;
2024/01/04;0200 UTC;0;;;;0;;;;;;;;;;85;3,1;1,6;
2024/01/04;0300 UTC;0;;;;0;;;;;;;;;;84;5,5;2,7;
2024/01/04;0400 UTC;0;;;;0;;;;;;;;;;81;6,9;2,9;
2024/01/04;0500 UTC;0;;;;0;;;;;;;;;;89;6,1;2,9;
2024/01/04;0600 UTC;0;;;;0;;;;;;;;;;82;6,1;2,9;
2024/01/04;0700 UTC;0;;;;0;;;;;;;;;;91;6,2;3,2;
2024/01/04;0800 UTC;0;;;;0;;;;;;;;;;95;7;3,3;
2024/01/04;0900 UTC;0;;;;20,9;;;;;;;;;;100;6;2,4;
2024/01/04;1000 UTC;0;;;;513,1;;;;;;;;;;93;7,8;4,2;
2024/01/04;1100 UTC;0;;;;1348;;;;;;;;;;83;10;5;
2024/01/04;1200 UTC;0;;;;1912,2;;;;;;;;;;78;11,5;5,1;
2024/01/04;1300 UTC;0;;;;2032,2;;;;;;;;;;76;10,4;4,3;
2024/01/04;1400 UTC;0;;;;2515,4;;;;;;;;;;80;9,8;4,6;
2024/01/04;1500 UTC;0;;;;3103,6;;;;;;;;;;60;9,9;4,1;
2024/01/04;1600 UTC;0;;;;2852,5;;;;;;;;;;37;8,7;5;
2024/01/04;1700 UTC;0;;;;3120,8;;;;;;;;;;40;9,7;5,2;
2024/01/04;1800 UTC;0;;;;2258,2;;;;;;;;;;51;9,6;5,1;
2024/01/04;1900 UTC;0;;;;1445,1;;;;;;;;;;58;9,6;4,4;
2024/01/04;2000 UTC;0;;;;1153,3;;;;;;;;;;53;9,9;4,1;
2024/01/04;2100 UTC;0;;;;222,8;;;;;;;;;;54;8,7;3,6;
2024/01/04;2200 UTC;0;;;;,2;;;;;;;;;;61;6,4;2,4;
2024/01/04;2300 UTC;0;;;;0;;;;;;;;;;69;4,8;1,8;
2024/01/05;0000 UTC;0;;;;0;;;;;;;;;;65;5;2,3;
2024/01/05;0100 UTC;0;;;;0;;;;;;;;;;69;4,5;1,7;
2024/01/05;0200 UTC;0;;;;0;;;;;;;;;;74;4,7;1,8;
2024/01/05;0300 UTC;0;;;;0;;;;;;;;;;90;4,5;2,8;
2024/01/05;0400 UTC;0;;;;0;;;;;;;;;;89;5,6;2,8;
2024/01/05;0500 UTC;0;;;;0;;;;;;;;;;90;5,1;2,6;
2024/01/05;0600 UTC;0;;;;0;;;;;;;;;;96;6,1;3,1;
2024/01/05;0700 UTC;0;;;;0;;;;;;;;;;91;6,3;3,5;
2024/01/05;0800 UTC;0;;;;0;;;;;;;;;;94;6,6;3,4;
2024/01/05;0900 UTC;0;;;;16,4;;;;;;;;;;98;6,5;3,2;
2024/01/05;1000 UTC;0;;;;486,5;;;;;;;;;;95;8,7;4,3;
2024/01/05;1100 UTC;0;;;;1344,9;;;;;;;;;;87;11;5,6;
2024/01/05;1200 UTC;0;;;;2192,6;;;;;;;;;;97;10,5;4,7;
2024/01/05;1300 UTC;0;;;;2896,8;;;;;;;;;;102;10,3;5,5;
2024/01/05;1400 UTC;0;;;;3421,8;;;;;;;;;;98;9,2;4,3;
2024/01/05;1500 UTC;0;;;;3862,9;;;;;;;;;;105;7,9;3;
2024/01/05;1600 UTC;0;;;;3382,7;;;;;;;;;;28;9,4;4,8;
2024/01/05;1700 UTC;0;;;;2949,9;;;;;;;;;;30;10;5,5;
2024/01/05;1800 UTC;0;;;;2305,8;;;;;;;;;;46;10,7;4,8;
2024/01/05;1900 UTC;0;;;;1635,2;;;;;;;;;;35;9;4,9;
2024/01/05;2000 UTC;0;;;;1014,8;;;;;;;;;;53;10,1;4,4;
2024/01/05;2100 UTC;0;;;;212,3;;;;;;;;;;66;8,6;4;
2024/01/05;2200 UTC;0;;;;,1;;;;;;;;;;60;7,9;2,4;
2024/01/05;2300 UTC;0;;;;0;;;;;;;;;;64;5,3;2,5;
