REGIAO:;NE
UF:;BA
ESTACAO:;FORMOSA DO RIO PRETO
CODIGO (WMO):;A452
LATITUDE:;-11,05222222
LONGITUDE:;-45,20083333
ALTITUDE:;488
DATA DE FUNDACAO:;02/06/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/02;1400 UTC;0;957,5;958,6;957,5;2612,8;29,4;25,3;29,5;27,2;25,9;23,7;87;76;78;125;3,3;1,3;
2024/01/02;1500 UTC;0;956,5;957,5;956,5;3182,2;30,1;24,9;30,8;29;26;23,8;82;69;74;109;4,8;1,7;
2024/01/02;1600 UTC;0;955,7;956,5;955,7;2388,9;29,1;24,5;31,4;29,1;25,7;22,3;79;63;76;140;4,9;,9;
2024/01/02;1700 UTC;0;955,2;955,8;955,2;656,4;24,9;24,4;29,1;24,7;25,4;23,8;100;74;97;277;7,7;1,4;
2024/01/02;1800 UTC;0;955,1;955,2;954,7;684,4;25,6;25,2;26;24,8;25,8;24,1;100;92;98;347;3,2;,9;
2024/01/02;1900 UTC;0;955,1;955,1;954,8;458,3;25;24,2;25,7;25;25,6;23,2;100;88;95;322;3,3;1,9;
2024/01/02;2000 UTC;1;955;955,2;954,9;290,9;23,7;23,7;25;23,5;24,6;23,5;100;95;100;304;6;2,1;
2024/01/02;2100 UTC;0;955,1;955,1;954,9;234,1;23,9;23,9;24;23,6;24;23,6;100;100;100;270;4,2;1,2;
2024/01/02;2200 UTC;0;955,9;955,9;955,1;15,4;23,7;23,7;23,9;23,7;23,8;23,7;100;100;100;310;2,5;1,2;
2024/01/02;2300 UTC;0;956,9;956,9;955,9;;23,7;23,6;23,8;23,6;23,8;23,6;100;100;100;277;2;,7;
2024/01/03;0000 UTC;0;957,5;957,5;956,9;;23,2;23,2;23,7;23,2;23,7;23,1;100;100;100;104;1,4;,4;
2024/01/03;0100 UTC;0;957,8;957,8;957,5;;23,3;23,3;23,3;23,1;23,3;23,1;100;100;100;118;1;,4;
2024/01/03;0200 UTC;,2;957,9;958;957,8;;23,2;23,2;23,4;23,2;23,4;23,2;100;100;100;87;1,6;,5;
2024/01/03;0300 UTC;0;957,3;957,9;957,3;;22,8;22,8;23,3;22,8;23,2;22,8;100;100;100;131;1,2;,5;
2024/01/03;0400 UTC;0;956,9;957,3;956,9;;22,7;22,7;22,9;22,7;22,8;22,7;100;100;100;131;1,1;,2;
2024/01/03;0500 UTC;0;956,6;956,9;956,6;;22,6;22,6;22,8;22,6;22,7;22,6;100;100;100;94;1,5;,4;
2024/01/03;0600 UTC;0;956,2;956,6;956,2;;22,5;22,5;22,7;22,5;22,7;22,5;100;100;100;100;1;,4;
2024/01/03;0700 UTC;0;956,3;956,3;956,2;;22,5;22,5;22,6;22,5;22,6;22,5;100;100;100;1;1;,2;
2024/01/03;0800 UTC;0;956,5;956,5;956,3;;22,6;22,6;22,7;22,5;22,7;22,5;100;100;100;204;1,2;,3;
2024/01/03;0900 UTC;0;956,9;956,9;956,5;10,5;22,4;22,4;22,6;22,4;22,6;22,4;100;100;100;148;1,7;,8;
2024/01/03;1000 UTC;0;957,7;957,7;956,9;239,8;23,5;23,5;23,5;22,4;23,5;22,4;100;100;100;122;1,7;,5;
2024/01/03;1100 UTC;0;958,1;958,1;957,7;1029;25,6;23,9;26;23,5;25,1;23,5;100;89;91;303;2,5;,7;
2024/01/03;1200 UTC;0;958,7;958,8;958,1;1136,2;26,5;24,9;26,5;25,6;24,9;23,7;94;87;91;325;2,5;,5;
2024/01/03;1300 UTC;0;959;959;958,7;1923,9;28,4;24;28,6;26,4;25,4;23,5;90;76;77;302;4;1,5;
2024/01/03;1400 UTC;,2;958,3;959;958,3;1394,5;27,9;23,7;28,6;27,5;24,7;22,8;83;71;78;334;6,2;1,4;
2024/01/03;1500 UTC;,2;957,7;958,4;957,7;691;25,7;24,2;28,1;25;25,3;23,3;98;76;91;107;5,4;1,3;
2024/01/03;1600 UTC;,6;956,6;957,7;956,6;1850,3;27;25,6;28,1;25,2;26;24,3;100;81;92;359;4,8;,9;
2024/01/03;1700 UTC;0;955,5;956,6;955,5;1160,8;26,8;25;27,4;26,8;26,1;23,9;94;82;90;254;5,1;2,5;
2024/01/03;1800 UTC;1,6;954,8;955,7;954,7;437,9;25,2;25,2;26,8;24,5;25,2;24,2;100;88;100;208;5,3;1,1;
2024/01/03;1900 UTC;,2;954,3;954,9;954,3;559,3;26;25,9;26;25,1;26;24,7;100;96;99;120;4,1;,8;
2024/01/03;2000 UTC;0;954,7;954,7;954,3;579,8;26,6;26;26,7;26;26,3;25,3;100;92;97;179;2,1;1,2;
2024/01/03;2100 UTC;0;955,6;955,6;954,7;216,6;25,9;25,9;26,6;25,9;26,4;25,8;100;96;100;274;3;1,3;
2024/01/03;2200 UTC;0;956,2;956,2;955,5;12,3;25;25;25,9;25;25,9;25;100;100;100;165;3;,8;
